t,lat,lon,alt,v1,v2,v3,a1,a2,a3
0,-44.7042726841549,-81.1195683779497,425220.264005884,6658.65014737319,-1608.14827158962,2665.12492822995,-1.17926063071684,5.07580250634199,6.06207581343923
1.60073213088246,-44.6537691431602,-80.9997911498839,425196.379268102,6656.75263133928,-1600.0204007471,2674.82437850236,-1.19155129436602,5.07937678171953,6.05668842718203
5,-44.5460568506668,-80.7461614387778,425145.46586023,6652.65788472637,-1582.74141048659,2695.39315424476,-1.21763659849468,5.08692255247396,6.04518256210381
10,-44.3864828923733,-80.374885525747,425070.105451966,6646.47385649688,-1557.27925703579,2725.57643375166,-1.2559685340919,5.0979115720903,6.02809729734129
15,-44.2255654114264,-80.0057355065187,424994.189912711,6640.09827643038,-1531.76250637337,2755.67380798986,-1.29425531929004,5.10876917171163,6.01082054264388
20,-44.063318932355,-79.6387052831432,424917.726430395,6633.53137756024,-1506.19179709284,2785.68432082954,-1.33249588474311,5.11949495076365,5.99335282675916
25,-43.8997578993222,-79.2737883114897,424840.722248091,6626.77339803116,-1480.56776984011,2815.60701879625,-1.37068916531192,5.13008851167925,5.97569468296646
30,-43.7348966735211,-78.9109781205042,424763.18466282,6619.82456827218,-1454.8911255673,2845.44095109172,-1.4088340547,5.14054947195413,5.9578466483772
35,-43.5687495307075,-78.5502673184116,424685.12102437,6612.68513726585,-1429.16250880547,2875.18516961155,-1.44692949542011,5.15087743996702,5.93980926329788
40,-43.4013306588662,-78.1916481116103,424606.538734167,6605.3553590471,-1403.3825661008,2904.83872895968,-1.48497443345202,5.16107202594759,5.92158307066462
45,-43.2326541560078,-77.8351128233799,424527.445244159,6597.8354805615,-1377.55200408184,2934.40068646021,-1.52296777223138,5.17113285495003,5.90316861558029
49.8821202938353,-43.0667542635631,-77.4889857910589,424449.730374858,6590.30971366175,-1352.28219956702,2963.17640522817,-1.56001459052976,5.18082705622,5.88500716512733
49.8821202938359,-43.0667542635631,-77.4889857910589,424449.730374858,6590.30971366175,-1352.28219956702,2963.17640522817,-1.56001459052976,5.18082705622001,5.88500716512733
50,-43.0627340280943,-77.4806528994817,424447.848055782,6590.12576658375,-1351.67147310923,2963.87010216755,-1.56090846281878,5.18105954063946,5.88456644498686
50.5893985308205,-43.0426226018705,-77.4390055015871,424438.432325782,6589.20445470809,-1348.61741065378,2967.33780724782,-1.56537739138055,5.18222083647154,5.88236128394796
